"Model","Sensitivity","Specificity","PPV","NPV"
"Basic regression model",0.75,0.683168316831683,0.614457831325301,0.802325581395349
"ALFAssay",0.753424657534247,0.943396226415094,0.901639344262295,0.847457627118644
