"Model","Sensitivity","Specificity","PPV","NPV"
"Basic regression model",0.75,0.683168316831683,0.614457831325301,0.802325581395349
"ALFAssay",0.808219178082192,0.877358490566038,0.819444444444444,0.869158878504673
