"Model","Sensitivity","Specificity","PPV","NPV"
"Basic regression model",0.735294117647059,0.742574257425743,0.657894736842105,0.806451612903226
"ALFAssay",0.808219178082192,0.924528301886792,0.880597014925373,0.875
