"Model","Sensitivity","Specificity","PPV","NPV"
"Basic regression model",0.75,0.683168316831683,0.614457831325301,0.802325581395349
"ALFAssay",0.73972602739726,0.971698113207547,0.947368421052632,0.844262295081967
