"Model","Sensitivity","Specificity","PPV","NPV"
"Basic regression model",0.75,0.683168316831683,0.614457831325301,0.802325581395349
"ALFAssay",0.712328767123288,0.971698113207547,0.945454545454545,0.830645161290323
