"Model","Sensitivity","Specificity","PPV","NPV"
"Basic regression model",0.876712328767123,0.575471698113208,0.587155963302752,0.871428571428571
"ALFAssay",0.876712328767123,0.877358490566038,0.831168831168831,0.911764705882353
